,일시,광진구,동대문구,성동구,중랑구,year,month,day,weekday,평균기온(℃),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥),강수량 mm
0,2018-01-01,0.592,0.368,0.58,0.162,2018,1,1,0,-1.3,46.6,22.6,0
1,2018-01-02,0.84,0.614,1.034,0.26,2018,1,2,1,-1.8,43.8,23.2,0
2,2018-01-03,0.828,0.576,0.952,0.288,2018,1,3,2,-4.7,37.2,20.0,0
3,2018-01-04,0.792,0.542,0.914,0.292,2018,1,4,3,-4.7,49.2,26.0,0
4,2018-01-05,0.818,0.602,0.994,0.308,2018,1,5,4,-3.0,64.4,39.4,0
5,2018-01-06,0.618,0.522,0.696,0.228,2018,1,6,5,-2.8,53.2,34.8,0
6,2018-01-07,0.598,0.478,0.606,0.238,2018,1,7,6,-0.8,56.6,40.6,0
7,2018-01-08,0.742,0.528,0.848,0.202,2018,1,8,0,1.3,58.0,39.2,0.9
8,2018-01-09,0.652,0.488,0.838,0.206,2018,1,9,1,-4.2,43.4,20.6,0.5
9,2018-01-10,0.5,0.406,0.636,0.16,2018,1,10,2,-7.5,36.8,15.0,0.3
10,2018-01-11,0.52,0.346,0.596,0.138,2018,1,11,3,-11.1,35.2,24.4,0
11,2018-01-12,0.514,0.318,0.596,0.136,2018,1,12,4,-10.2,26.0,16.4,0
12,2018-01-13,0.492,0.296,0.454,0.188,2018,1,13,5,-4.4,54.6,38.0,0.4
13,2018-01-14,0.496,0.414,0.554,0.17,2018,1,14,6,0.6,71.6,51.8,0
14,2018-01-15,0.722,0.52,0.918,0.26,2018,1,15,0,4.7,73.2,48.8,0.2
15,2018-01-16,0.844,0.63,1.012,0.258,2018,1,16,1,3.5,113.6,80.0,0
16,2018-01-17,0.82,0.59,0.9,0.24,2018,1,17,2,4.5,118.6,88.4,0
17,2018-01-18,0.788,0.638,1.01,0.228,2018,1,18,3,2.1,92.0,58.6,0
18,2018-01-19,0.984,0.634,1.126,0.294,2018,1,19,4,1.0,65.2,29.6,0
19,2018-01-20,0.77,0.486,0.804,0.276,2018,1,20,5,2.2,106.4,60.8,0
20,2018-01-21,0.664,0.448,0.648,0.268,2018,1,21,6,0.4,67.0,34.6,0
21,2018-01-22,0.624,0.396,0.692,0.162,2018,1,22,0,0.2,52.2,29.0,3.3
22,2018-01-23,0.432,0.386,0.636,0.11,2018,1,23,1,-11.7,26.4,12.6,0
23,2018-01-24,0.396,0.302,0.498,0.088,2018,1,24,2,-14.2,31.0,10.2,0
24,2018-01-25,0.444,0.306,0.492,0.098,2018,1,25,3,-14.0,23.8,11.2,0
25,2018-01-26,0.36,0.29,0.526,0.088,2018,1,26,4,-14.8,32.4,19.0,0
26,2018-01-27,0.358,0.278,0.352,0.116,2018,1,27,5,-9.9,47.2,29.0,0
27,2018-01-28,0.316,0.294,0.334,0.128,2018,1,28,6,-6.3,32.4,20.4,0
28,2018-01-29,0.574,0.366,0.62,0.132,2018,1,29,0,-8.5,46.2,15.6,0
29,2018-01-30,0.444,0.288,0.512,0.098,2018,1,30,1,-5.3,43.2,22.0,2.9
30,2018-01-31,0.474,0.338,0.598,0.1,2018,1,31,2,-2.6,41.0,20.2,0
31,2018-02-01,0.726,0.43,0.816,0.202,2018,2,1,3,-4.0,39.6,23.0,0
32,2018-02-02,0.732,0.47,0.886,0.224,2018,2,2,4,-2.4,55.6,33.8,0
33,2018-02-03,0.448,0.312,0.44,0.152,2018,2,3,5,-7.3,37.6,19.8,0.5
34,2018-02-04,0.322,0.244,0.328,0.126,2018,2,4,6,-9.5,31.8,21.4,0
35,2018-02-05,0.522,0.362,0.622,0.144,2018,2,5,0,-9.4,26.8,14.6,0
36,2018-02-06,0.472,0.342,0.592,0.114,2018,2,6,1,-10.1,30.6,18.8,0
37,2018-02-07,0.614,0.43,0.676,0.158,2018,2,7,2,-8.0,42.0,26.4,0
38,2018-02-08,0.706,0.476,0.758,0.174,2018,2,8,3,-4.4,53.6,35.2,0
39,2018-02-09,0.838,0.48,0.946,0.23,2018,2,9,4,0.4,67.6,48.2,0
40,2018-02-10,0.614,0.4,0.606,0.236,2018,2,10,5,-0.5,75.6,42.2,0
41,2018-02-11,0.45,0.28,0.356,0.144,2018,2,11,6,-6.1,54.0,14.8,0
42,2018-02-12,0.652,0.46,0.716,0.178,2018,2,12,0,-5.8,50.4,15.2,0
43,2018-02-13,0.788,0.52,0.892,0.288,2018,2,13,1,-0.8,52.0,17.0,0
44,2018-02-14,0.9,0.55,0.994,0.272,2018,2,14,2,3.5,66.2,30.6,0
45,2018-02-15,0.436,0.332,0.488,0.218,2018,2,15,3,-0.7,38.4,16.0,0
46,2018-02-16,0.318,0.244,0.398,0.192,2018,2,16,4,-1.1,45.4,22.4,0
47,2018-02-17,0.388,0.298,0.442,0.236,2018,2,17,5,-3.0,50.4,12.2,0
48,2018-02-18,0.65,0.368,0.568,0.262,2018,2,18,6,-0.4,36.4,18.0,0
49,2018-02-19,0.954,0.628,1.22,0.32,2018,2,19,0,1.8,62.4,40.8,0
50,2018-02-20,0.958,0.74,1.238,0.302,2018,2,20,1,0.9,62.6,40.2,0
51,2018-02-21,0.946,0.664,1.086,0.338,2018,2,21,2,-0.9,36.8,18.8,0
52,2018-02-22,1.008,0.614,1.134,0.318,2018,2,22,3,1.3,45.4,28.0,0.4
53,2018-02-23,0.744,0.466,0.896,0.246,2018,2,23,4,4.2,89.2,64.4,3.7
54,2018-02-24,0.866,0.624,0.808,0.288,2018,2,24,5,2.4,79.2,55.6,0
55,2018-02-25,0.926,0.588,0.932,0.314,2018,2,25,6,1.9,42.8,29.8,0
56,2018-02-26,1.274,0.828,1.448,0.394,2018,2,26,0,3.1,65.0,43.6,0
57,2018-02-27,1.152,0.756,1.3,0.396,2018,2,27,1,4.2,100.8,67.4,0
58,2018-02-28,0.522,0.354,0.554,0.15,2018,2,28,2,4.6,68.4,44.0,25
59,2018-03-01,0.6,0.474,0.66,0.226,2018,3,1,3,-0.2,40.2,30.8,0.5
60,2018-03-02,1.028,0.75,1.196,0.346,2018,3,2,4,-0.7,67.8,29.8,0
61,2018-03-03,2.12,1.04,1.894,0.598,2018,3,3,5,7.9,60.0,27.8,0
62,2018-03-04,0.616,0.446,0.628,0.26,2018,3,4,6,9.8,30.2,20.2,11.5
63,2018-03-05,1.18,0.746,1.378,0.326,2018,3,5,0,5.5,8.4,5.2,3.5
64,2018-03-06,1.606,1.032,1.87,0.588,2018,3,6,1,4.5,29.8,17.4,0
65,2018-03-07,1.55,0.938,1.612,0.53,2018,3,7,2,6.4,26.4,15.0,0.5
66,2018-03-08,0.952,0.688,1.232,0.334,2018,3,8,3,4.6,33.0,27.6,4
67,2018-03-09,1.612,0.998,1.732,0.606,2018,3,9,4,4.5,48.4,35.6,0
68,2018-03-10,1.73,1.004,1.602,0.606,2018,3,10,5,4.6,48.8,34.4,0
69,2018-03-11,2.144,1.018,1.886,0.712,2018,3,11,6,6.4,56.2,38.0,0
70,2018-03-12,2.136,1.244,2.148,0.688,2018,3,12,0,8.0,97.4,61.2,0
71,2018-03-13,2.608,1.462,2.47,0.798,2018,3,13,1,12.4,74.8,44.4,0
72,2018-03-14,3.622,1.838,3.294,1.0,2018,3,14,2,17.0,23.6,12.8,0
73,2018-03-15,1.08,0.6,1.026,0.336,2018,3,15,3,12.4,20.8,15.6,27
74,2018-03-16,2.276,1.414,2.338,0.756,2018,3,16,4,7.1,12.8,6.4,0
75,2018-03-17,2.616,1.326,2.604,0.806,2018,3,17,5,6.6,30.6,19.2,0
76,2018-03-18,1.716,0.922,1.562,0.564,2018,3,18,6,8.2,57.8,43.0,0.5
77,2018-03-19,1.254,0.848,1.33,0.39,2018,3,19,0,8.0,26.0,19.6,1
78,2018-03-20,1.598,1.094,1.768,0.538,2018,3,20,1,4.7,19.6,8.6,0
79,2018-03-21,1.226,0.724,1.168,0.428,2018,3,21,2,2.1,13.8,6.6,1
80,2018-03-22,2.08,1.274,2.126,0.666,2018,3,22,3,4.9,42.25,27.75,0
81,2018-03-23,2.372,1.368,2.444,0.854,2018,3,23,4,6.1,65.0,50.75,0
82,2018-03-24,1.94,1.168,1.9,0.718,2018,3,24,5,7.6,115.5,90.0,0
83,2018-03-25,2.158,1.036,1.674,0.72,2018,3,25,6,9.6,120.0,101.0,0
84,2018-03-26,2.146,1.242,2.154,0.674,2018,3,26,0,11.0,106.5,74.0,0
85,2018-03-27,2.352,1.53,2.3,0.802,2018,3,27,1,13.3,94.8,59.4,0
86,2018-03-28,2.986,1.718,2.962,1.012,2018,3,28,2,14.0,57.0,38.0,0
87,2018-03-29,2.972,1.79,2.788,1.062,2018,3,29,3,15.4,60.8,42.4,0
88,2018-03-30,3.376,1.886,3.14,1.168,2018,3,30,4,14.8,64.2,37.0,0
89,2018-03-31,3.476,1.852,3.276,1.144,2018,3,31,5,14.0,58.8,31.2,0
90,2018-04-01,3.078,1.66,3.134,1.156,2018,4,1,6,15.6,71.2,35.8,0
91,2018-04-02,3.824,2.186,3.558,1.448,2018,4,2,0,18.4,73.4,28.8,0
92,2018-04-03,3.728,2.08,3.446,1.41,2018,4,3,1,17.8,72.0,20.8,0.1
93,2018-04-04,3.488,1.952,3.502,1.122,2018,4,4,2,13.4,12.8,7.2,18.5
94,2018-04-05,0.412,0.244,0.414,0.13,2018,4,5,3,7.6,5.8,4.0,10.5
95,2018-04-06,1.76,1.032,1.85,0.638,2018,4,6,4,5.8,123.6,24.8,6.5
96,2018-04-07,1.474,1.036,1.588,0.772,2018,4,7,5,4.2,50.2,23.6,0.2
97,2018-04-08,0.872,0.616,0.926,0.368,2018,4,8,6,3.9,26.0,14.6,3
98,2018-04-09,3.014,1.798,2.964,1.162,2018,4,9,0,7.9,37.6,22.8,0
99,2018-04-10,2.62,1.564,2.508,0.928,2018,4,10,1,15.1,45.4,19.4,5
100,2018-04-11,3.192,1.968,3.12,1.204,2018,4,11,2,12.6,64.2,24.8,0
101,2018-04-12,3.68,2.152,3.86,1.246,2018,4,12,3,13.3,45.2,14.8,0
102,2018-04-13,3.866,2.092,3.78,1.35,2018,4,13,4,14.6,35.8,14.4,0
103,2018-04-14,0.976,0.674,0.862,0.462,2018,4,14,5,9.0,20.4,12.2,9
104,2018-04-15,1.554,0.912,1.488,0.73,2018,4,15,6,9.5,77.6,21.6,0
105,2018-04-16,3.718,2.156,3.822,1.32,2018,4,16,0,11.6,39.2,22.4,0
106,2018-04-17,3.702,2.264,3.546,1.402,2018,4,17,1,12.9,62.0,30.6,0
107,2018-04-18,3.134,1.98,3.042,1.138,2018,4,18,2,12.4,79.0,35.4,0
108,2018-04-19,2.734,1.472,2.564,0.974,2018,4,19,3,14.0,87.8,41.8,0
109,2018-04-20,3.874,2.008,3.524,1.346,2018,4,20,4,18.4,107.6,56.0,0
110,2018-04-21,4.66,2.214,4.204,1.584,2018,4,21,5,18.7,78.8,44.0,0
111,2018-04-22,1.216,0.606,1.056,0.54,2018,4,22,6,15.5,39.0,22.0,15.5
112,2018-04-23,0.144,0.086,0.114,0.036,2018,4,23,0,9.3,7.6,6.0,59
113,2018-04-24,2.784,1.864,2.922,1.084,2018,4,24,1,12.1,7.0,5.0,3
114,2018-04-25,4.304,2.368,3.93,1.716,2018,4,25,2,14.6,34.0,25.25,0
115,2018-04-26,4.542,2.426,4.164,1.512,2018,4,26,3,14.9,45.8,31.8,0
116,2018-04-27,4.354,2.38,4.014,1.598,2018,4,27,4,15.7,56.0,38.2,0
117,2018-04-28,4.73,2.112,3.97,1.712,2018,4,28,5,15.4,62.8,41.0,0
118,2018-04-29,4.602,2.164,4.502,1.844,2018,4,29,6,16.2,56.8,33.2,0
119,2018-04-30,4.91,2.328,4.07,1.59,2018,4,30,0,19.2,83.4,59.0,0
120,2018-05-01,5.12,2.476,4.322,1.914,2018,5,1,1,20.4,63.0,46.6,0
121,2018-05-02,1.332,0.664,1.042,0.4,2018,5,2,2,15.1,43.2,33.6,12
122,2018-05-03,3.034,1.936,3.074,1.34,2018,5,3,3,11.2,28.4,15.4,1
123,2018-05-04,4.418,2.422,4.01,1.662,2018,5,4,4,14.1,42.4,17.4,0
124,2018-05-05,5.342,2.266,4.46,1.632,2018,5,5,5,18.3,39.4,18.8,0
125,2018-05-06,2.656,1.12,2.328,1.036,2018,5,6,6,16.6,13.8,8.8,22
126,2018-05-07,5.57,2.394,5.198,2.082,2018,5,7,0,19.2,35.0,18.2,0
127,2018-05-08,4.272,2.486,4.058,1.608,2018,5,8,1,17.5,16.0,6.4,0
128,2018-05-09,5.064,2.732,4.694,1.972,2018,5,9,2,15.7,21.2,7.4,0
129,2018-05-10,5.038,2.756,4.32,1.908,2018,5,10,3,15.4,41.6,22.0,0
130,2018-05-11,4.404,2.634,4.048,1.87,2018,5,11,4,16.1,58.4,36.2,0
131,2018-05-12,0.44,0.314,0.402,0.236,2018,5,12,5,14.2,29.0,18.6,32
132,2018-05-13,4.602,2.186,4.358,1.838,2018,5,13,6,15.8,21.2,14.8,0.5
133,2018-05-14,4.924,2.754,4.502,1.786,2018,5,14,0,18.2,67.8,49.4,0
134,2018-05-15,4.282,2.69,4.374,1.766,2018,5,15,1,23.2,74.4,51.6,0
135,2018-05-16,1.152,0.656,1.138,0.394,2018,5,16,2,22.3,36.8,24.4,45
136,2018-05-17,0.508,0.342,0.504,0.168,2018,5,17,3,20.9,13.4,8.4,83
137,2018-05-18,2.306,1.39,2.194,0.936,2018,5,18,4,16.3,8.8,4.2,6.5
138,2018-05-19,5.662,2.786,5.072,2.142,2018,5,19,5,17.6,9.6,3.6,0
139,2018-05-20,4.922,2.314,4.674,2.106,2018,5,20,6,17.0,9.6,4.4,0
140,2018-05-21,5.644,2.842,5.138,2.086,2018,5,21,0,17.8,17.2,9.6,0
141,2018-05-22,2.184,1.25,2.184,0.948,2018,5,22,1,18.1,34.6,22.4,12.5
142,2018-05-23,4.458,2.526,4.346,1.808,2018,5,23,2,17.3,46.2,10.2,6.5
143,2018-05-24,4.884,2.77,4.36,1.85,2018,5,24,3,18.3,93.6,24.0,0
144,2018-05-25,4.924,2.632,4.308,1.964,2018,5,25,4,19.7,90.4,33.0,0
145,2018-05-26,5.092,2.55,4.688,2.056,2018,5,26,5,21.8,78.6,36.4,0
146,2018-05-27,5.196,2.418,4.612,2.1,2018,5,27,6,20.3,66.8,27.8,0
147,2018-05-28,5.234,2.956,4.728,2.056,2018,5,28,0,22.3,49.4,25.0,0
148,2018-05-29,3.556,2.464,3.568,1.602,2018,5,29,1,21.4,40.8,26.4,1
149,2018-05-30,5.07,2.69,4.65,2.062,2018,5,30,2,20.2,42.2,23.2,0
150,2018-05-31,5.182,2.994,4.968,2.062,2018,5,31,3,20.9,42.8,24.0,0
151,2018-06-01,5.338,2.85,4.966,2.166,2018,6,1,4,23.8,44.2,22.8,0
152,2018-06-02,5.59,2.618,4.624,2.058,2018,6,2,5,23.4,40.4,21.8,0
153,2018-06-03,5.24,2.472,4.758,2.078,2018,6,3,6,24.0,31.0,19.6,0
154,2018-06-04,5.598,3.168,4.664,2.126,2018,6,4,0,22.6,42.6,27.0,0
155,2018-06-05,5.364,3.162,4.608,2.296,2018,6,5,1,23.7,44.2,31.2,0
156,2018-06-06,5.274,2.518,4.844,2.122,2018,6,6,2,23.0,49.0,33.8,0
157,2018-06-07,5.372,3.044,4.76,2.15,2018,6,7,3,22.2,46.0,32.4,0
158,2018-06-08,5.678,3.176,5.09,2.346,2018,6,8,4,21.9,34.4,22.2,0
159,2018-06-09,4.358,2.426,3.788,1.954,2018,6,9,5,23.7,35.4,21.8,0.5
160,2018-06-10,4.836,2.514,4.476,2.098,2018,6,10,6,21.3,7.6,3.8,0.5
161,2018-06-11,4.37,2.464,3.534,1.656,2018,6,11,0,20.2,10.4,4.0,5
162,2018-06-12,5.744,3.194,5.25,2.27,2018,6,12,1,21.3,16.0,7.4,0
163,2018-06-13,6.256,3.358,5.558,2.664,2018,6,13,2,22.0,29.0,18.6,0
164,2018-06-14,4.038,2.08,3.312,1.486,2018,6,14,3,21.6,27.8,18.8,29
165,2018-06-15,5.622,3.132,4.958,2.198,2018,6,15,4,21.7,13.8,6.4,16.5
166,2018-06-16,6.152,2.954,4.976,2.454,2018,6,16,5,22.5,21.8,10.6,0
167,2018-06-17,5.798,2.888,4.814,2.38,2018,6,17,6,22.8,48.8,31.6,0
168,2018-06-18,4.672,2.686,4.056,1.934,2018,6,18,0,24.8,42.0,27.2,0
169,2018-06-19,5.656,3.38,5.16,2.536,2018,6,19,1,22.4,40.6,26.6,0
170,2018-06-20,5.674,3.394,4.978,2.424,2018,6,20,2,22.7,42.8,29.0,0
171,2018-06-21,6.198,3.508,5.184,2.438,2018,6,21,3,23.7,39.2,23.8,0
172,2018-06-22,6.108,3.228,4.972,2.568,2018,6,22,4,25.0,42.0,25.4,0
173,2018-06-23,5.684,3.088,5.048,2.496,2018,6,23,5,24.5,38.6,22.8,0
174,2018-06-24,5.258,2.58,4.494,2.01,2018,6,24,6,25.2,62.0,36.6,0
175,2018-06-25,5.752,3.314,5.252,2.534,2018,6,25,0,27.1,58.8,35.4,0
176,2018-06-26,0.74,0.502,0.704,0.492,2018,6,26,1,22.3,49.2,34.0,71.5
177,2018-06-27,4.816,2.754,4.638,2.178,2018,6,27,2,22.3,26.0,19.2,1
178,2018-06-28,3.366,2.138,2.938,1.492,2018,6,28,3,23.3,20.2,14.0,26.5
179,2018-06-29,4.992,2.772,4.698,2.138,2018,6,29,4,24.7,36.2,25.2,6.5
180,2018-06-30,3.318,2.01,2.814,1.53,2018,6,30,5,24.4,48.0,32.8,14.5
181,2018-07-01,0.506,0.31,0.464,0.312,2018,7,1,6,21.9,10.8,6.0,83.5
182,2018-07-02,0.468,0.318,0.602,0.246,2018,7,2,0,22.6,8.4,5.6,59.5
183,2018-07-03,4.802,2.778,4.548,2.224,2018,7,3,1,27.4,11.8,6.8,0.1
184,2018-07-04,5.44,3.104,4.94,2.364,2018,7,4,2,27.3,22.0,12.2,0
185,2018-07-05,4.848,2.856,4.304,2.162,2018,7,5,3,25.3,17.4,12.2,0.5
186,2018-07-06,6.028,3.444,5.46,2.5,2018,7,6,4,23.9,6.0,2.4,0
187,2018-07-07,6.11,3.01,5.444,2.594,2018,7,7,5,23.7,8.0,2.8,0
188,2018-07-08,6.502,2.99,5.15,2.372,2018,7,8,6,23.3,10.4,4.8,0
189,2018-07-09,1.016,0.562,0.834,0.414,2018,7,9,0,20.8,8.6,4.0,14
190,2018-07-10,3.242,1.826,2.812,1.334,2018,7,10,1,23.7,20.6,11.4,16.5
191,2018-07-11,4.512,2.386,3.854,1.732,2018,7,11,2,26.8,30.4,17.8,3
192,2018-07-12,5.434,3.014,4.992,2.444,2018,7,12,3,26.6,27.6,15.8,1
193,2018-07-13,5.408,3.036,4.848,2.39,2018,7,13,4,27.3,21.2,13.6,0
194,2018-07-14,4.964,2.622,3.928,2.196,2018,7,14,5,27.9,18.4,12.0,0
195,2018-07-15,4.286,2.306,3.494,1.864,2018,7,15,6,28.3,21.6,15.8,0
196,2018-07-16,5.27,2.962,4.328,2.082,2018,7,16,0,28.7,25.8,18.2,0
197,2018-07-17,5.146,3.042,4.662,2.31,2018,7,17,1,28.1,29.6,22.4,0
198,2018-07-18,5.158,3.08,4.556,2.236,2018,7,18,2,28.2,33.4,24.8,0
199,2018-07-19,5.13,3.154,4.332,2.256,2018,7,19,3,28.7,30.4,21.6,0
200,2018-07-20,4.844,2.934,4.244,2.22,2018,7,20,4,29.5,36.2,24.8,0
201,2018-07-21,4.098,2.346,3.214,1.86,2018,7,21,5,30.6,40.8,28.2,0
202,2018-07-22,3.706,1.852,2.78,1.616,2018,7,22,6,31.8,29.8,21.0,0
203,2018-07-23,4.828,2.696,4.362,1.974,2018,7,23,0,31.7,31.0,19.8,0
204,2018-07-24,4.614,2.66,4.11,2.016,2018,7,24,1,31.4,43.4,29.4,0
205,2018-07-25,4.612,2.714,4.284,2.1,2018,7,25,2,30.1,30.8,20.6,0
206,2018-07-26,4.626,2.618,4.066,2.068,2018,7,26,3,30.1,40.8,26.2,0
207,2018-07-27,3.904,2.356,3.732,1.974,2018,7,27,4,30.9,51.2,34.8,0
208,2018-07-28,3.252,1.808,2.416,1.57,2018,7,28,5,29.5,38.2,27.2,7.5
209,2018-07-29,3.656,1.95,2.962,1.544,2018,7,29,6,31.3,16.6,11.8,0
210,2018-07-30,4.62,2.568,4.042,1.892,2018,7,30,0,31.7,9.6,5.4,0
211,2018-07-31,4.414,2.412,3.906,1.896,2018,7,31,1,32.6,15.8,9.0,0
212,2018-08-01,3.874,2.236,3.426,1.62,2018,8,1,2,33.6,31.0,19.2,0
213,2018-08-02,3.966,2.194,3.364,1.656,2018,8,2,3,33.7,38.4,27.4,0
214,2018-08-03,3.832,2.262,3.606,1.71,2018,8,3,4,33.1,42.6,32.6,0
215,2018-08-04,3.636,1.856,2.824,1.536,2018,8,4,5,31.1,26.0,18.6,0
216,2018-08-05,3.522,1.744,2.828,1.48,2018,8,5,6,30.0,24.2,16.4,2
217,2018-08-06,3.48,2.246,3.028,1.69,2018,8,6,0,30.5,26.8,18.4,6.5
218,2018-08-07,4.564,2.606,4.046,1.85,2018,8,7,1,30.5,19.0,12.4,0
219,2018-08-08,4.7,2.57,3.86,2.028,2018,8,8,2,31.0,26.0,17.8,0
220,2018-08-09,3.714,2.124,3.248,1.782,2018,8,9,3,28.8,22.0,16.4,2
221,2018-08-10,4.604,2.57,3.902,1.968,2018,8,10,4,30.7,14.8,8.8,0
222,2018-08-11,4.242,2.28,3.216,1.734,2018,8,11,5,31.0,8.6,4.8,0
223,2018-08-12,3.992,1.84,2.732,1.354,2018,8,12,6,30.6,13.2,9.2,5
224,2018-08-13,4.642,2.538,3.97,1.782,2018,8,13,0,30.5,31.4,23.2,1
225,2018-08-14,4.67,2.766,4.028,1.95,2018,8,14,1,31.7,28.4,20.2,0
226,2018-08-15,3.304,1.864,2.836,1.45,2018,8,15,2,31.7,27.8,20.2,1
227,2018-08-16,5.412,2.99,4.552,2.192,2018,8,16,3,29.9,15.2,8.6,0
228,2018-08-17,6.114,3.232,5.272,2.288,2018,8,17,4,27.2,12.0,4.8,0
229,2018-08-18,6.202,2.842,5.138,2.382,2018,8,18,5,26.7,15.2,6.0,0
230,2018-08-19,5.626,2.84,4.698,2.316,2018,8,19,6,28.2,22.0,12.0,0
231,2018-08-20,5.216,3.124,4.93,2.242,2018,8,20,0,29.1,31.8,20.0,0
232,2018-08-21,5.028,3.11,4.512,2.102,2018,8,21,1,26.6,22.4,13.2,5
233,2018-08-22,5.446,3.134,4.72,2.124,2018,8,22,2,30.7,23.2,13.8,0
234,2018-08-23,2.892,1.656,2.43,1.334,2018,8,23,3,29.4,12.2,6.2,3
235,2018-08-24,1.85,1.122,1.658,0.722,2018,8,24,4,24.4,7.6,4.2,7.5
236,2018-08-25,5.794,3.19,5.258,2.396,2018,8,25,5,25.2,22.2,11.8,0
237,2018-08-26,3.844,2.09,3.322,1.728,2018,8,26,6,23.2,16.2,9.8,2
238,2018-08-27,2.888,1.688,2.458,1.164,2018,8,27,0,22.7,8.4,4.6,19.5
239,2018-08-28,1.798,1.05,1.364,0.816,2018,8,28,1,23.7,8.6,4.4,96.5
240,2018-08-29,1.752,0.88,1.318,0.52,2018,8,29,2,25.2,12.6,6.8,42
241,2018-08-30,4.33,1.918,3.356,1.37,2018,8,30,3,25.3,26.0,17.6,9.5
242,2018-08-31,5.86,3.156,5.14,2.174,2018,8,31,4,25.6,24.0,13.8,0.1
243,2018-09-01,5.654,2.99,4.616,2.274,2018,9,1,5,25.5,18.2,8.6,0
244,2018-09-02,6.662,3.178,5.676,2.522,2018,9,2,6,25.1,11.8,5.2,0
245,2018-09-03,2.404,1.374,1.74,0.894,2018,9,3,0,23.3,13.6,6.6,34.5
246,2018-09-04,6.474,3.502,5.43,2.49,2018,9,4,1,23.2,16.2,6.8,0
247,2018-09-05,7.338,3.898,5.862,2.748,2018,9,5,2,24.0,25.6,9.4,0
